"","race","height","weight","speed","strength","dexterity","constitution","intelligence","wisdom","charisma"
"1138","dragonborn",72,211,30,8,13,13,11,15,11
"1139","dragonborn",70,195,30,15,17,11,12,13,16
"1140","dragonborn",74,239,30,14,14,16,14,13,12
"1141","dragonborn",74,263,30,14,13,13,15,9,17
"1142","dragonborn",77,274,30,12,14,17,14,11,7
"1143","dragonborn",75,229,30,12,17,13,16,16,11
"1144","dragonborn",79,253,30,10,11,14,16,15,14
"1145","dwarf",55,151,25,7,10,19,14,15,6
"1146","dwarf",52,150,25,11,13,15,11,17,11
"1147","dwarf",52,158,25,17,13,15,10,10,16
"1148","dwarf",54,148,25,12,16,7,13,12,7
"1149","dwarf",52,158,25,12,13,16,11,11,8
"1150","dwarf",54,166,25,18,13,17,17,7,13
"1151","dwarf",56,186,25,13,10,14,15,16,12
"1152","dwarf",54,172,25,14,14,12,12,10,9
"1153","dwarf",52,158,25,12,13,11,11,11,10
"1154","dwarf",52,150,25,16,18,10,10,6,12
"1155","dwarf",54,172,25,18,10,16,15,15,11
"1156","dwarf",53,145,25,10,13,18,13,14,12
"1157","dwarf",53,170,25,9,17,14,9,15,16
"1158","dwarf",51,154,25,16,9,11,14,13,13
"1159","dwarf",52,158,25,10,14,17,12,17,13
"1160","dwarf",53,160,25,15,13,11,13,15,9
"1161","dwarf",56,202,25,14,10,15,15,12,12
"1162","dwarf",51,145,25,10,11,15,11,10,15
"1163","dwarf",54,166,25,14,9,13,11,5,7
"1164","dwarf",52,142,25,14,13,18,15,11,14
"1165","dwarf",55,179,25,7,14,6,10,17,10
"1166","dwarf",51,157,25,13,13,19,7,5,9
"1167","dwarf",56,186,25,11,15,14,9,11,12
"1168","dwarf",55,172,25,12,10,16,14,15,14
"1169","dwarf",51,145,25,10,7,13,15,14,9
"1170","dwarf",51,151,25,12,13,14,14,9,13
"1171","dwarf",54,172,25,13,15,15,11,13,12
"1172","dwarf",52,150,25,14,12,13,13,13,13
"1173","dwarf",55,158,25,10,9,13,11,8,12
"1174","dwarf",52,146,25,11,16,13,16,9,14
"1175","dwarf",56,154,25,12,12,15,10,12,11
"1176","dwarf",53,155,25,13,13,17,8,9,5
"1177","dwarf",52,162,25,14,15,17,13,16,13
"1178","dwarf",53,150,25,12,16,13,9,9,10
"1179","dwarf",55,165,25,11,16,14,12,13,16
"1180","dwarf",54,148,25,13,13,17,13,16,18
"1181","dwarf",52,150,25,15,12,10,13,8,6
"1182","dwarf",54,178,25,9,17,12,10,13,14
"1183","dwarf",54,184,25,16,14,12,12,9,16
"1184","dwarf",53,165,25,9,16,8,12,11,10
"1185","dwarf",54,172,25,17,12,15,12,8,10
"1186","dwarf",55,214,25,9,14,15,17,14,14
"1187","dwarf",52,146,25,14,15,17,14,14,11
"1188","dwarf",55,193,25,15,8,14,16,12,10
"1189","dwarf",54,184,25,14,16,15,11,15,12
"1190","dwarf",55,193,25,16,15,14,14,15,18
"1191","dwarf",51,151,25,15,12,10,12,11,9
"1192","dwarf",50,138,25,13,17,10,9,9,18
"1193","dwarf",50,150,25,13,10,20,13,10,15
"1194","dwarf",54,184,25,14,14,14,12,6,16
"1195","dwarf",52,174,25,13,18,15,11,10,9
"1196","dwarf",55,151,25,17,9,16,12,7,11
"1197","dwarf",56,186,25,15,9,20,9,12,12
"1198","dwarf",54,184,25,11,13,12,6,12,14
"1199","dwarf",52,154,25,10,15,15,11,10,12
"1200","dwarf",53,180,25,14,7,13,18,11,10
"1201","dwarf",52,154,25,8,8,15,12,11,12
"1202","dwarf",53,175,25,16,11,18,6,16,12
"1203","dwarf",54,172,25,15,13,12,18,7,11
"1204","dwarf",52,170,25,14,11,12,11,12,14
"1205","dwarf",56,202,25,14,10,19,13,8,9
"1206","dwarf",55,172,25,9,13,13,16,14,11
"1207","dwarf",51,151,25,11,14,13,14,12,12
"1208","dwarf",50,142,25,10,18,15,14,18,13
"1209","dwarf",51,160,25,11,14,18,15,14,10
"1210","dwarf",54,166,25,7,12,12,9,7,13
"1211","dwarf",52,166,25,8,7,19,18,13,9
"1212","dwarf",52,162,25,6,10,17,12,8,14
"1213","dwarf",51,151,25,12,10,16,12,14,12
"1214","dwarf",50,136,25,16,14,16,10,14,17
"1215","dwarf",55,207,25,10,16,14,13,18,12
"1216","dwarf",56,194,25,14,12,12,13,8,14
"1217","dwarf",51,151,25,15,13,14,15,13,11
"1218","dwarf",53,180,25,12,12,15,12,14,17
"1219","dwarf",52,166,25,18,7,20,12,11,11
"1220","dwarf",54,196,25,13,5,14,13,7,9
"1221","dwarf",54,178,25,14,9,12,10,14,15
"1222","dwarf",55,193,25,9,12,14,11,12,13
"1223","dwarf",51,148,25,11,14,15,10,11,17
"1224","dwarf",53,150,25,15,16,17,10,17,17
"1225","dwarf",50,148,25,10,12,16,10,15,5
"1226","dwarf",52,178,25,8,16,17,10,8,15
"1227","dwarf",55,165,25,9,17,15,13,14,15
"1228","dwarf",51,160,25,15,12,19,15,15,14
"1229","dwarf",54,160,25,6,12,18,17,12,13
"1230","dwarf",53,140,25,15,12,12,13,10,14
"1231","dwarf",52,158,25,6,14,17,11,11,15
"1232","dwarf",55,172,25,12,13,14,12,12,14
"1233","dwarf",53,160,25,9,13,16,14,13,18
"1234","dwarf",52,150,25,11,15,17,11,14,12
"1235","dwarf",54,178,25,11,14,16,14,13,15
"1236","dwarf",50,150,25,7,13,16,5,13,17
"1237","dwarf",53,175,25,7,15,12,12,13,14
"1238","dwarf",53,175,25,13,11,15,15,12,9
"1239","dwarf",55,186,25,10,9,15,12,11,14
"1240","dwarf",52,174,25,15,12,14,13,10,12
"1241","dwarf",54,190,25,5,16,17,11,10,12
"1242","dwarf",53,155,25,11,11,18,7,9,12
"1243","dwarf",51,142,25,16,8,13,13,8,11
"1244","dwarf",52,158,25,9,7,14,16,16,16
"1245","dwarf",55,172,25,6,12,13,15,13,14
"1246","dwarf",51,151,25,12,16,14,17,15,11
"1247","dwarf",52,158,25,8,12,17,12,12,11
"1248","dwarf",51,142,25,13,8,6,13,12,10
"1249","dwarf",54,172,25,18,10,18,14,13,10
"1250","dwarf",53,165,25,12,8,20,13,10,9
"1251","dwarf",54,172,25,15,15,6,12,12,12
"1252","dwarf",54,184,25,12,14,17,10,10,7
"1253","dwarf",53,160,25,17,11,16,12,15,15
"1254","dwarf",53,150,25,14,9,11,12,13,10
"1255","dwarf",50,140,25,13,7,15,11,12,7
"1256","dwarf",52,166,25,13,16,12,7,7,9
"1257","dwarf",56,194,25,13,13,14,14,14,14
"1258","dwarf",55,200,25,16,13,19,13,10,10
"1259","dwarf",52,162,25,13,16,12,10,16,17
"1260","dwarf",55,172,25,13,14,20,5,14,15
"1261","dwarf",54,178,25,13,9,14,15,13,16
"1262","dwarf",54,172,25,12,17,14,6,7,14
"1263","dwarf",53,160,25,7,14,19,17,7,12
"1264","dwarf",51,148,25,13,8,10,15,13,14
"1265","dwarf",52,150,25,10,8,12,9,9,13
"1266","dwarf",54,178,25,16,12,15,7,10,12
"1267","dwarf",55,200,25,14,11,14,13,12,18
"1268","dwarf",53,160,25,8,14,13,14,13,6
"1269","dwarf",52,162,25,14,12,16,16,11,12
"1270","dwarf",51,145,25,13,15,15,12,10,8
"1271","dwarf",51,151,25,12,17,20,10,9,14
"1272","dwarf",52,170,25,14,9,15,7,9,10
"1273","dwarf",54,178,25,14,8,10,12,15,9
"1274","dwarf",51,160,25,8,17,13,10,11,15
"1275","dwarf",56,170,25,14,12,8,14,14,14
"1276","dwarf",55,200,25,16,13,11,12,8,14
"1277","dwarf",53,140,25,16,11,20,15,9,9
"1278","dwarf",54,178,25,13,13,11,12,8,4
"1279","dwarf",53,170,25,11,14,15,10,16,9
"1280","dwarf",55,165,25,11,8,10,10,14,9
"1281","dwarf",52,154,25,16,11,13,11,10,13
"1282","dwarf",55,144,25,11,13,17,16,8,14
"1283","dwarf",52,146,25,10,9,18,12,11,16
"1284","dwarf",53,150,25,12,14,16,11,8,14
"1285","dwarf",50,142,25,10,13,15,14,12,5
"1286","dwarf",52,162,25,11,11,14,6,12,11
"1287","dwarf",52,154,25,12,12,15,5,12,16
"1288","dwarf",54,172,25,14,14,16,12,14,11
"1289","dwarf",53,165,25,14,8,14,9,17,14
"1290","dwarf",54,178,25,11,13,13,11,13,10
"1291","dwarf",50,148,25,12,15,13,16,9,13
"1292","dwarf",53,165,25,15,14,14,16,16,16
"1293","dwarf",51,154,25,13,10,15,17,9,8
"1294","dwarf",56,154,25,11,17,17,13,17,9
"1295","dwarf",52,170,25,12,15,17,14,7,12
"1296","dwarf",56,186,25,13,14,16,16,7,16
"1297","dwarf",52,154,25,9,6,7,15,13,16
"1298","dwarf",53,165,25,11,14,16,16,12,11
"1299","dwarf",51,139,25,10,16,16,14,10,11
"1300","dwarf",51,136,25,12,13,8,11,11,17
"1301","dwarf",55,172,25,15,14,16,10,16,17
"1302","dwarf",54,178,25,7,10,14,6,12,9
"1303","dwarf",53,180,25,15,12,15,14,14,10
"1304","dwarf",56,210,25,12,9,14,14,14,9
"1305","dwarf",51,142,25,6,12,16,13,12,18
"1306","dwarf",53,165,25,11,11,16,12,10,17
"1307","dwarf",52,162,25,15,13,14,16,14,10
"1308","dwarf",55,172,25,12,9,14,15,16,17
"1309","dwarf",52,154,25,16,7,14,9,11,14
"1310","dwarf",51,154,25,10,16,14,12,11,16
"1311","dwarf",52,158,25,11,7,12,12,12,12
"1312","dwarf",51,148,25,9,13,14,13,12,15
"1313","dwarf",55,186,25,12,11,10,12,10,11
"1314","dwarf",54,184,25,13,17,18,10,14,13
"1315","dwarf",55,151,25,7,9,18,12,14,16
"1316","dwarf",51,142,25,15,8,10,15,11,10
"1317","dwarf",53,150,25,10,11,17,13,13,13
"1318","dwarf",52,162,25,8,10,16,13,15,9
"1319","dwarf",53,170,25,12,16,12,14,10,13
"1320","dwarf",51,151,25,12,13,17,17,14,18
"1321","dwarf",52,150,25,13,14,18,16,12,6
"1322","dwarf",53,170,25,14,13,14,6,14,13
"1323","dwarf",52,174,25,15,15,16,14,12,14
"1324","dwarf",55,165,25,11,14,12,12,12,17
"1325","dwarf",54,160,25,14,13,14,16,15,16
"1326","dwarf",54,160,25,13,12,12,11,16,15
"1327","dwarf",53,145,25,11,14,12,17,8,14
"1328","dwarf",54,172,25,10,14,20,11,10,15
"1329","dwarf",54,154,25,9,8,13,5,12,10
"1330","dwarf",53,180,25,8,8,13,12,14,12
"1331","dwarf",55,165,25,16,10,17,11,8,11
"1332","dwarf",52,146,25,14,14,13,13,16,17
"1333","dwarf",53,160,25,11,14,14,14,11,15
"1334","dwarf",53,155,25,17,15,17,14,6,13
"1335","dwarf",52,158,25,15,16,16,13,9,12
"1336","dwarf",55,186,25,15,12,12,12,18,16
"1337","dwarf",53,190,25,12,9,14,16,13,11
"1338","dwarf",54,190,25,15,11,17,12,13,9
"1339","dwarf",50,150,25,11,8,15,9,11,9
"1340","dwarf",54,184,25,13,15,12,14,16,12
"1341","dwarf",53,170,25,16,17,17,16,10,11
"1342","dwarf",53,190,25,13,9,10,13,13,15
"1343","dwarf",51,163,25,12,7,14,12,13,12
"1344","dwarf",50,152,25,10,15,12,16,4,10
"1345","dwarf",53,155,25,15,9,15,11,13,13
"1346","dwarf",55,165,25,14,15,16,9,14,14
"1347","dwarf",53,155,25,12,7,19,15,17,13
"1348","dwarf",53,150,25,13,11,12,16,11,16
"1349","dwarf",54,202,25,15,17,15,10,9,15
"1350","dwarf",54,148,25,15,18,13,13,10,13
"1351","dwarf",52,158,25,11,15,10,15,14,8
"1352","dwarf",54,190,25,17,13,15,13,15,9
"1353","dwarf",55,186,25,11,10,15,9,15,9
"1354","dwarf",52,158,25,15,13,14,13,13,16
"1355","dwarf",55,151,25,8,12,16,16,14,14
"1356","dwarf",50,142,25,12,9,15,12,10,13
"1357","dwarf",55,165,25,10,8,9,14,11,13
"1358","dwarf",53,150,25,14,13,14,12,13,7
"1359","dwarf",55,186,25,10,16,13,12,7,8
"1360","dwarf",52,142,25,14,13,16,13,11,8
"1361","dwarf",55,200,25,11,12,12,15,16,16
"1362","dwarf",53,160,25,10,13,9,17,12,8
"1363","dwarf",53,165,25,10,10,18,9,6,13
"1364","dwarf",50,140,25,11,12,11,14,13,17
"1365","dwarf",51,148,25,12,17,14,12,10,13
"1366","dwarf",50,150,25,12,11,15,17,18,15
"1367","dwarf",53,145,25,11,14,18,7,13,8
"1368","dwarf",53,160,25,8,10,18,13,11,13
"1369","dwarf",52,166,25,12,12,13,7,7,12
"1370","dwarf",50,146,25,12,17,15,11,10,10
"1371","dwarf",52,158,25,13,12,13,15,15,18
"1372","dwarf",56,146,25,12,14,16,11,13,11
"1373","dwarf",52,154,25,8,13,11,11,14,10
"1374","dwarf",51,157,25,8,16,17,16,13,7
"1375","dwarf",54,184,25,8,15,9,12,15,15
"1376","dwarf",52,146,25,16,11,15,14,12,12
"1377","dwarf",53,160,25,8,13,13,12,14,14
"1378","dwarf",51,151,25,13,14,18,12,16,14
"1379","dwarf",52,154,25,15,16,13,14,12,17
"1380","dwarf",52,158,25,10,11,8,12,14,13
"1381","dwarf",52,158,25,17,16,16,15,16,12
"1382","dwarf",51,139,25,12,12,15,5,12,15
"1383","dwarf",53,140,25,10,15,10,12,16,9
"1384","dwarf",51,148,25,11,15,11,17,8,8
"1385","dwarf",53,165,25,10,7,14,16,8,16
"1386","dwarf",53,165,25,14,10,17,12,13,13
"1387","dwarf",53,150,25,10,12,15,9,10,9
"1388","dwarf",54,172,25,10,15,17,11,13,14
"1389","dwarf",51,160,25,15,5,13,13,8,12
"1390","dwarf",55,172,25,17,12,18,16,9,11
"1391","dwarf",54,154,25,14,5,11,13,17,10
"1392","dwarf",55,186,25,11,11,14,12,13,13
"1393","dwarf",52,138,25,13,13,12,12,10,15
"1394","dwarf",53,160,25,12,12,10,12,7,10
"1395","dwarf",54,178,25,12,15,16,5,17,13
"1396","dwarf",52,154,25,12,16,9,16,18,10
"1397","dwarf",53,175,25,8,16,18,12,11,18
"1398","dwarf",52,170,25,15,15,15,13,16,12
"1399","dwarf",55,193,25,11,12,10,17,15,14
"1400","dwarf",52,174,25,6,11,17,12,15,8
"1401","dwarf",55,172,25,9,12,13,16,6,14
"1402","dwarf",54,160,25,13,9,17,15,12,11
"1403","dwarf",55,179,25,12,14,16,14,13,13
"1404","dwarf",53,150,25,15,15,16,11,14,13
"1405","dwarf",53,145,25,16,14,10,16,16,9
"1406","dwarf",50,148,25,15,12,19,12,16,10
"1407","dwarf",53,145,25,11,12,20,11,10,14
"1408","dwarf",56,202,25,13,13,15,12,14,14
"1409","dwarf",54,184,25,16,13,12,13,13,12
"1410","dwarf",53,165,25,16,11,12,13,7,16
"1411","dwarf",50,142,25,11,15,10,8,10,12
"1412","dwarf",52,162,25,15,17,15,14,11,5
"1413","dwarf",54,184,25,10,11,17,10,13,12
"1414","dwarf",51,154,25,14,14,8,13,11,8
"1415","dwarf",54,166,25,15,15,16,16,7,13
"1416","dwarf",52,146,25,12,16,13,7,9,9
"1417","dwarf",55,165,25,7,9,15,13,16,11
"1418","dwarf",56,186,25,14,15,13,17,10,13
"1419","dwarf",50,136,25,13,10,14,7,11,8
"1420","dwarf",54,178,25,12,11,14,14,16,17
"1421","dwarf",52,150,25,3,12,16,12,16,12
"1422","dwarf",55,200,25,10,12,16,13,10,17
"1423","dwarf",51,157,25,10,15,18,12,16,8
"1424","dwarf",52,158,25,9,7,14,15,15,11
"1425","dwarf",53,170,25,10,11,17,12,11,11
"1426","dwarf",53,155,25,9,14,15,9,16,16
"1427","dwarf",56,202,25,11,13,19,14,18,12
"1428","dwarf",54,178,25,9,7,11,14,11,11
"1429","dwarf",54,172,25,14,16,11,15,7,13
"1430","dwarf",51,142,25,14,11,13,13,17,10
"1431","dwarf",50,148,25,10,8,15,9,13,7
"1432","dwarf",56,186,25,14,6,18,12,9,16
"1433","dwarf",53,185,25,11,11,12,14,15,9
"1434","dwarf",53,150,25,16,16,10,12,14,14
"1435","dwarf",53,165,25,11,10,13,5,12,9
"1436","dwarf",51,157,25,10,11,9,10,9,14
"1437","dwarf",56,210,25,14,10,19,11,6,8
"1438","dwarf",50,148,25,11,17,9,10,8,7
"1439","dwarf",54,154,25,12,11,15,17,13,12
"1440","dwarf",52,162,25,8,5,15,11,11,15
"1441","dwarf",53,155,25,12,14,11,14,10,13
"1442","dwarf",52,150,25,16,14,11,16,11,14
"1443","dwarf",54,178,25,12,12,16,11,8,14
"1444","dwarf",53,150,25,5,10,17,10,9,16
"1445","dwarf",54,160,25,11,12,19,12,7,14
"1446","dwarf",52,162,25,11,11,16,11,8,14
"1447","dwarf",53,170,25,11,8,12,13,10,15
"1448","dwarf",52,154,25,6,16,15,12,16,9
"1449","dwarf",54,172,25,14,8,15,10,13,14
"1450","dwarf",53,160,25,14,15,16,9,12,13
"1451","dwarf",52,142,25,6,16,15,13,10,13
"1452","dwarf",55,172,25,11,16,13,17,10,12
"1453","dwarf",53,175,25,15,11,20,17,12,15
"1454","dwarf",51,151,25,11,12,14,9,14,17
"1455","dwarf",54,160,25,11,11,16,15,9,16
"1456","dwarf",52,158,25,10,17,11,12,11,10
"1457","dwarf",56,146,25,12,15,19,16,14,15
"1458","dwarf",51,160,25,11,18,16,3,11,10
"1459","dwarf",54,190,25,12,14,18,10,13,11
"1460","dwarf",52,154,25,14,12,9,8,7,15
"1461","dwarf",53,175,25,11,17,16,14,12,16
"1462","dwarf",53,155,25,11,10,13,13,15,7
"1463","dwarf",54,178,25,17,18,14,15,15,11
"1464","dwarf",52,150,25,12,13,18,15,9,11
"1465","dwarf",53,170,25,13,10,13,10,11,14
"1466","dwarf",52,174,25,15,13,14,13,11,13
"1467","dwarf",55,186,25,13,11,16,9,17,11
"1468","dwarf",54,190,25,7,16,12,13,5,17
"1469","dwarf",56,194,25,15,13,11,10,14,15
"1470","dwarf",50,142,25,4,18,18,16,6,12
"1471","dwarf",54,190,25,7,16,16,16,12,14
"1472","dwarf",54,178,25,14,10,15,14,16,14
"1473","dwarf",53,165,25,15,11,13,9,16,8
"1474","dwarf",54,160,25,12,14,18,8,11,14
"1475","dwarf",52,138,25,14,12,17,12,7,14
"1476","dwarf",51,148,25,12,12,11,14,10,15
"1477","dwarf",53,155,25,13,11,12,15,10,14
"1478","dwarf",55,179,25,11,16,9,15,12,9
"1479","dwarf",52,166,25,11,15,15,10,12,11
"1480","dwarf",51,154,25,10,16,15,15,13,16
"1481","dwarf",53,175,25,14,9,14,12,15,7
"1482","dwarf",53,170,25,15,15,19,14,12,10
"1483","dwarf",51,151,25,14,14,15,8,16,16
"1484","dwarf",52,166,25,18,18,15,14,9,13
"1485","dwarf",53,170,25,11,15,16,14,10,16
"1486","dwarf",52,150,25,9,12,14,14,9,11
"1487","dwarf",52,166,25,8,17,16,13,12,11
"1488","dwarf",53,175,25,13,14,7,14,7,11
"1489","dwarf",53,140,25,9,17,6,10,11,10
"1490","dwarf",53,185,25,13,8,17,14,16,10
"1491","dwarf",53,185,25,8,12,14,14,10,14
"1492","dwarf",53,180,25,11,11,13,15,10,7
"1493","dwarf",54,166,25,12,14,16,13,10,16
"1494","dwarf",51,166,25,14,13,17,17,14,13
"1495","dwarf",53,175,25,17,14,17,12,14,10
"1496","dwarf",50,144,25,10,8,17,6,12,17
"1497","dwarf",53,175,25,15,16,13,7,11,18
"1498","dwarf",54,172,25,17,15,11,15,8,14
"1499","dwarf",56,170,25,12,9,20,13,17,14
"1500","dwarf",53,165,25,15,12,15,6,15,17
"1501","dwarf",54,196,25,11,11,18,13,15,11
"1502","dwarf",55,200,25,13,14,13,15,9,16
"1503","dwarf",53,160,25,13,13,16,11,15,13
"1504","dwarf",51,151,25,14,13,16,14,9,14
"1505","dwarf",51,151,25,14,11,12,16,14,11
"1506","dwarf",55,151,25,9,12,15,14,12,11
"1507","dwarf",54,184,25,11,12,13,14,9,10
"1508","dwarf",51,154,25,14,13,17,16,11,10
"1509","dwarf",51,160,25,12,15,19,7,17,17
"1510","dwarf",56,210,25,10,17,11,9,11,9
"1511","dwarf",52,162,25,14,14,18,11,12,16
"1512","dwarf",53,175,25,16,11,9,12,9,15
"1513","dwarf",51,154,25,17,10,14,16,11,14
"1514","dwarf",55,214,25,13,8,14,12,14,10
"1515","dwarf",52,158,25,11,17,18,11,13,13
"1516","dwarf",51,151,25,10,13,13,16,13,16
"1517","dwarf",51,148,25,17,16,15,13,9,13
"1518","dwarf",54,154,25,7,9,17,14,15,11
"1519","dwarf",54,154,25,7,15,16,13,10,10
"1520","dwarf",51,139,25,12,12,14,15,8,14
"1521","dwarf",54,184,25,11,15,12,10,9,12
"1522","dwarf",52,158,25,14,11,12,13,15,10
"1523","dwarf",54,166,25,15,14,17,13,18,12
"1524","dwarf",53,140,25,15,7,15,11,12,16
"1525","dwarf",53,140,25,9,13,8,13,15,17
"1526","dwarf",55,214,25,12,9,17,10,13,8
"1527","dwarf",52,154,25,12,15,19,13,18,12
"1528","dwarf",56,210,25,8,14,16,16,12,11
"1529","dwarf",53,160,25,13,15,19,13,14,15
"1530","dwarf",52,150,25,9,12,15,9,10,10
"1531","dwarf",50,136,25,15,10,16,14,15,10
"1532","dwarf",54,172,25,10,14,11,9,13,6
"1533","dwarf",54,160,25,9,14,12,10,16,13
"1534","dwarf",52,150,25,12,14,12,13,12,8
"1535","dwarf",51,157,25,8,14,13,15,12,13
"1536","dwarf",55,158,25,15,14,10,14,14,6
"1537","dwarf",55,179,25,14,13,17,11,15,8
"1538","dwarf",53,170,25,12,12,15,13,14,15
"1539","dwarf",54,148,25,17,15,12,14,16,15
"1540","dwarf",52,146,25,7,11,15,11,13,15
"1541","dwarf",54,166,25,16,13,8,12,14,10
"1542","dwarf",54,190,25,10,11,14,8,11,13
"1543","dwarf",53,160,25,15,13,15,10,15,13
"1544","dwarf",51,151,25,15,16,16,12,14,10
"1545","dwarf",55,151,25,8,16,13,12,15,8
"1546","dwarf",56,146,25,10,7,19,10,13,9
"1547","dwarf",54,166,25,14,14,13,17,16,13
"1548","dwarf",52,150,25,7,13,13,18,10,6
"1549","dwarf",50,148,25,14,8,17,17,11,5
"1550","dwarf",50,138,25,14,13,13,14,12,14
"1551","dwarf",52,162,25,15,14,13,16,14,5
"1552","dwarf",53,165,25,14,11,14,9,8,16
"1553","dwarf",50,144,25,9,14,16,10,13,14
"1554","dwarf",53,175,25,11,11,20,17,8,10
"1555","dwarf",53,160,25,15,18,12,14,14,10
"1556","dwarf",52,162,25,12,11,16,7,11,14
"1557","dwarf",53,180,25,8,9,10,12,10,12
"1558","dwarf",55,193,25,11,15,13,14,9,14
"1559","dwarf",54,184,25,13,11,12,13,12,16
"1560","dwarf",51,163,25,12,10,11,15,11,11
"1561","dwarf",53,155,25,8,13,16,9,6,8
"1562","dwarf",53,185,25,15,11,20,13,14,13
"1563","dwarf",51,154,25,11,12,16,12,11,9
"1564","dwarf",54,178,25,15,16,8,10,11,7
"1565","dwarf",53,170,25,12,13,18,15,17,10
"1566","dwarf",55,186,25,14,17,16,12,15,16
"1567","dwarf",56,202,25,13,15,7,15,14,17
"1568","dwarf",53,160,25,14,10,15,8,11,13
"1569","dwarf",53,180,25,7,10,17,13,16,9
"1570","dwarf",52,170,25,16,14,10,8,12,12
"1571","dwarf",54,196,25,14,14,19,12,8,14
"1572","dwarf",52,162,25,10,10,13,8,9,12
"1573","dwarf",56,162,25,10,11,16,11,14,13
"1574","dwarf",56,162,25,14,8,7,14,17,11
"1575","dwarf",53,170,25,8,12,16,16,6,11
"1576","dwarf",53,155,25,16,13,18,15,12,12
"1577","dwarf",53,165,25,16,14,7,15,15,11
"1578","dwarf",52,170,25,10,7,15,13,15,11
"1579","dwarf",53,165,25,14,16,14,6,14,8
"1580","dwarf",53,165,25,11,16,16,12,14,8
"1581","dwarf",53,175,25,13,14,14,16,10,7
"1582","dwarf",52,170,25,14,14,8,13,13,9
"1583","dwarf",54,166,25,7,12,17,16,15,9
"1584","dwarf",53,165,25,9,12,19,10,6,14
"1585","dwarf",51,154,25,13,14,13,11,18,14
"1586","dwarf",52,158,25,12,16,15,6,11,10
"1587","dwarf",56,178,25,12,9,14,8,14,14
"1588","dwarf",56,170,25,11,17,15,13,7,10
"1589","dwarf",54,148,25,14,11,17,10,13,12
"1590","dwarf",51,148,25,15,9,16,15,15,12
"1591","dwarf",51,160,25,11,14,15,16,12,10
"1592","dwarf",53,165,25,16,14,11,16,16,10
"1593","dwarf",55,179,25,9,17,18,12,15,7
"1594","dwarf",53,165,25,15,14,16,10,8,9
"1595","dwarf",54,160,25,6,15,16,17,16,14
"1596","dwarf",52,162,25,13,15,16,17,13,16
"1597","dwarf",52,154,25,11,9,18,12,10,12
"1598","dwarf",51,151,25,5,12,16,15,10,7
"1599","dwarf",54,160,25,17,9,16,11,10,14
"1600","dwarf",54,166,25,8,13,13,16,10,11
"1601","dwarf",56,186,25,9,16,17,7,13,11
"1602","dwarf",56,162,25,15,13,15,16,10,8
"1603","dwarf",54,172,25,12,12,11,14,12,12
"1604","dwarf",50,146,25,16,9,14,14,9,16
"1605","dwarf",52,158,25,9,8,18,15,15,9
"1606","dwarf",52,158,25,9,11,17,9,16,10
"1607","dwarf",51,148,25,13,14,16,17,6,10
"1608","dwarf",51,148,25,10,12,11,17,11,17
"1609","dwarf",51,136,25,16,12,15,13,11,9
"1610","dwarf",55,165,25,11,14,14,16,15,13
"1611","dwarf",55,165,25,14,10,14,17,13,12
"1612","dwarf",52,166,25,13,17,11,17,13,14
"1613","dwarf",54,160,25,11,13,14,16,12,12
"1614","dwarf",55,165,25,11,10,19,14,15,11
"1615","dwarf",51,148,25,16,11,18,16,14,7
"1616","dwarf",51,151,25,10,9,11,12,18,9
"1617","dwarf",52,162,25,17,8,16,14,8,11
"1618","dwarf",55,193,25,13,8,18,15,8,13
"1619","dwarf",54,154,25,17,13,14,16,15,8
"1620","dwarf",51,166,25,11,8,17,9,10,13
"1621","dwarf",54,172,25,15,14,16,10,13,8
"1622","dwarf",53,165,25,13,11,17,10,17,7
"1623","dwarf",52,178,25,10,18,16,7,13,11
"1624","dwarf",55,207,25,16,17,12,7,12,12
"1625","dwarf",56,154,25,10,8,9,11,14,10
"1626","dwarf",54,166,25,11,12,14,11,14,18
"1627","dwarf",51,157,25,12,12,14,7,14,8
"1628","dwarf",55,172,25,12,13,16,14,16,15
"1629","dwarf",54,202,25,14,11,18,12,14,7
"1630","dwarf",53,165,25,6,11,18,12,14,15
"1631","dwarf",53,165,25,14,14,15,11,16,16
"1632","dwarf",53,170,25,11,16,12,15,14,12
"1633","dwarf",53,185,25,13,13,17,13,18,8
"1634","dwarf",51,151,25,6,12,13,15,12,13
"1635","dwarf",53,145,25,14,9,12,10,13,5
"1636","dwarf",53,155,25,14,10,16,15,13,12
"1637","dwarf",54,184,25,14,7,18,13,12,14
"1638","dwarf",50,144,25,14,13,7,9,7,10
"1639","dwarf",54,166,25,11,8,13,11,12,9
"1640","dwarf",54,178,25,14,10,12,9,9,12
"1641","dwarf",50,146,25,15,16,14,13,13,12
"1642","dwarf",54,160,25,14,12,14,15,9,11
"1643","dwarf",54,154,25,17,13,14,6,9,14
"1644","dwarf",53,180,25,14,15,14,14,13,18
"1645","dwarf",52,166,25,17,13,13,14,12,10
"1646","dwarf",51,154,25,9,12,9,8,11,9
"1647","dwarf",52,166,25,12,13,20,17,10,14
"1648","dwarf",52,146,25,8,12,19,10,9,14
"1649","dwarf",53,145,25,11,15,16,10,15,15
"1650","dwarf",50,148,25,12,11,15,16,15,10
"1651","dwarf",53,180,25,6,15,11,12,12,13
"1652","dwarf",55,165,25,14,14,16,7,9,13
"1653","dwarf",54,172,25,10,15,19,12,9,18
